SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,1,0,1.6137012404433893,1,1,1,1,1,0,0.9152615371725684,1,0,0,0,0,1,0,1,0,0,0
1,1,0,-0.8295205827584317,1,0,1,0,0,1,1.2160467942026365,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.1145631287986442,0,0,0,0,0,0,-1.4893587220678115,0,0,1,1,0,0,0,0,0,1,0
0,1,0,1.247217966963116,0,0,0,0,0,0,-1.5126238800701377,0,0,1,0,0,1,0,0,0,1,0
0,0,0,-1.1960038562387048,1,0,0,0,0,1,0.3155881886326897,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.6266789452551076,0,0,0,0,1,0,-0.4396208429041979,1,0,0,1,0,0,0,0,0,1,1
0,0,0,1.6137012404433893,0,0,0,0,0,1,-1.4943441130683104,0,0,1,0,0,1,0,1,0,0,0
0,0,1,-1.2774445836787656,0,1,0,0,1,0,-0.3410569949530208,1,0,0,1,0,0,0,0,1,0,0
0,1,1,1.4100994218432374,1,1,0,0,1,0,1.3240635992134344,0,1,0,0,0,1,1,0,0,0,0
0,0,0,1.125056875803025,0,1,0,1,1,0,0.4732235351283796,1,0,0,0,1,0,0,0,0,1,0
0,1,0,-0.62591876415828,1,0,1,0,0,1,0.5230774451333633,0,1,0,1,0,0,1,0,0,0,0
1,0,0,1.4100994218432374,1,0,0,0,0,1,0.3635449331174155,0,1,0,1,0,0,0,0,0,1,0
0,0,0,-1.2774445836787656,0,0,0,0,0,0,0.1959311769245759,0,1,0,1,0,0,0,0,0,1,1
0,0,0,-0.9958053637673014,0,1,0,0,1,1,-0.595575295163583,1,0,0,1,0,0,0,1,0,0,1
0,1,0,0.4328106925625091,0,0,0,0,0,1,-0.2795705059468741,1,0,0,0,1,0,0,0,0,1,0
0,1,0,1.5322605130033284,0,1,1,1,1,0,1.2044142152014738,0,1,0,0,0,1,0,1,0,0,0
0,1,1,-1.2774445836787656,0,0,0,0,0,0,-1.505976692069473,0,0,1,1,0,0,0,0,0,1,1
0,1,0,-0.7888002190384014,1,0,0,1,0,1,1.245959140205627,0,1,0,1,0,0,0,1,0,0,1
0,1,0,-1.0595808251274677,1,0,0,0,0,1,0.7822680425161308,0,1,0,1,0,0,0,0,1,0,1
0,1,0,-1.0509804095359812,0,0,0,0,1,0,-0.6490053189933991,1,0,0,1,0,0,0,0,0,1,1
0,1,1,0.9621754209229036,0,1,1,1,0,1,-0.1150526029304281,1,0,0,0,0,1,0,1,0,0,0
1,0,0,-1.1960038562387048,0,0,0,0,0,0,-1.1053829647162612,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-0.7073594915983407,0,0,0,0,0,0,-1.4960059100684764,0,0,1,1,0,0,1,0,0,0,1
0,1,1,-0.3408762181180675,0,1,1,1,0,0,-0.238025580942721,1,0,0,0,1,0,0,0,1,0,0
1,1,0,-0.8702409464784621,0,0,0,0,0,1,0.180747263099142,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-1.1960038562387048,0,0,0,0,0,1,-1.505976692069473,0,0,1,0,1,0,0,0,0,1,0
0,1,1,-0.62591876415828,1,0,0,0,0,1,0.9235705221733987,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1.3286586944031769,1,1,0,1,1,1,1.503537675231376,0,1,0,0,1,0,0,1,0,0,0
0,0,0,1.5322605130033284,0,1,0,1,1,1,-0.2130986259402292,1,0,0,0,0,1,1,0,0,0,0
1,0,0,-0.96577717334055,0,0,0,1,0,1,0.8796926452367954,0,1,0,1,0,0,0,1,0,0,1
0,0,0,-0.8115049847520155,0,1,0,0,0,1,-0.5054806682286316,1,0,0,1,0,0,0,0,1,0,1
1,1,0,-0.3408762181180675,0,1,0,0,0,0,-0.8528904710041867,1,0,0,1,0,0,1,0,0,0,1
0,0,1,1.5729808767233588,0,1,1,1,1,1,0.4034280611214026,1,0,0,0,0,1,0,1,0,0,0
0,1,0,-0.7073594915983407,0,0,0,0,0,1,-1.505976692069473,0,0,1,1,0,0,0,1,0,0,0
0,1,1,-0.08403332066401027,1,1,1,0,0,1,0.98803266037482,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1.5322605130033284,1,1,1,1,1,1,1.5683477582378549,0,1,0,0,0,1,0,1,0,0,0
0,1,1,0.3513699651224484,0,1,1,1,0,1,-0.1482885429337505,1,0,0,0,1,0,1,0,0,0,0
1,1,0,0.6917084182485542,1,0,1,0,0,1,0.8134866617650847,0,1,0,1,0,0,0,0,1,0,1
1,0,0,-0.7073594915983407,0,1,0,1,1,1,1.0482052971858582,0,1,0,1,0,0,0,0,0,1,1
0,0,0,-1.0797350073122214,0,0,1,0,0,0,0.3531520384491478,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.8295205827584317,0,0,1,0,1,0,-1.0223937650211312,1,0,0,1,0,0,0,0,0,1,0
0,1,1,-1.1820575997923293,0,0,0,0,0,0,0.26020433012441857,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.4223169455581282,0,1,1,0,1,1,-0.2263930019415581,1,0,0,1,0,0,0,0,0,1,0
0,0,0,-0.6163370177041274,1,0,0,1,0,1,0.9243515756371357,0,1,0,1,0,0,0,1,0,0,1
0,0,0,-1.2419698862166406,1,0,0,0,0,1,0.6929072760723507,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.1372743995179157,1,1,0,0,0,1,0.0444799090855196,1,0,0,1,0,0,0,0,1,0,0
0,1,1,0.6364125111626608,1,0,0,0,0,0,-1.3697093380558512,0,0,1,0,0,1,0,0,0,1,0
0,0,1,-1.2774445836787656,0,1,0,0,0,0,-0.4706771609659783,1,0,0,1,0,0,0,0,0,1,1
0,1,1,1.247217966963116,0,0,0,0,0,0,-1.4976677070686424,0,0,1,0,0,1,0,0,0,1,0
0,0,1,-1.1552834925186746,1,0,0,1,1,1,0.7424346491552913,0,1,0,1,0,0,0,0,0,1,1
0,1,0,-1.2774445836787656,0,0,0,1,0,1,-0.4789861459668089,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.5022587113181332,0,0,1,1,0,0,0,0,0,1,1
1,1,1,0.758573602322752,1,0,1,1,0,1,0.6460504231456565,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.4630373092781585,0,0,0,0,0,1,-1.4893587220678115,0,0,1,1,0,0,0,0,0,1,0
0,1,0,-1.2774445836787656,0,0,1,0,0,1,-1.160322916034919,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0.6503592958854814,1,0,0,0,0,1,-1.3237243429619856,0,0,1,0,0,1,0,1,0,0,1
1,1,0,0.7178532386027215,0,0,0,0,0,1,0.2089978121019659,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.8400143297628127,0,1,1,0,0,1,-0.613591702980265,1,0,0,1,0,0,1,0,0,0,0
0,0,0,0.8400143297628127,1,1,0,1,0,1,1.4021680582212426,0,1,0,0,1,0,0,1,0,0,1
0,1,1,1.6137012404433893,0,0,0,0,0,0,-1.4694171580658184,0,0,1,0,0,1,0,0,1,0,0
1,1,0,-0.8843831813781005,1,0,0,0,0,1,0.8377743391904445,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.5037576729981889,0,0,0,0,0,1,-1.4976677070686424,0,0,1,0,0,1,0,0,0,1,0
0,1,1,-0.4223169455581282,0,0,1,1,0,1,1.1728400721983174,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0.01784747925914494,0,1,1,1,1,0,0.5951769588358364,1,0,0,0,1,0,1,0,0,0,1
0,1,0,0.1070477828022663,0,1,0,1,0,0,-0.3859255139575061,1,0,0,0,1,0,0,1,0,0,0
0,0,0,-1.0924797055016489,1,0,0,1,0,1,1.1826893095456088,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.1552834925186746,0,1,0,1,0,0,-0.2662761299455452,1,0,0,1,0,0,0,0,1,0,0
1,0,0,-0.8702409464784621,1,1,1,0,0,0,-0.1499503399339166,1,0,0,1,0,0,1,0,0,0,0
1,0,0,1.5729808767233588,1,1,1,1,1,0,0.8338334841644282,1,0,0,0,0,1,0,0,0,1,0
0,0,0,0.2292088739623573,1,0,1,0,1,0,0.112613586092331,1,0,0,1,0,0,0,1,0,0,0
0,1,1,-0.8212200649413142,0,0,1,0,1,1,0.7816673324304441,0,1,0,1,0,0,0,1,0,0,1
0,0,0,0.5155549327346947,0,0,1,0,0,0,-0.9442916581629411,1,0,0,1,0,0,1,0,0,0,1
1,0,0,1.386900344263672,0,0,0,0,0,1,-0.6521399906066239,1,0,0,0,1,0,0,0,1,0,1
0,1,1,1.4915401492832985,0,0,0,0,0,0,-1.481049737066981,0,0,1,0,0,1,1,0,0,0,0
0,1,0,1.6137012404433893,1,1,1,1,0,1,1.1030445981913404,0,1,0,0,0,1,0,1,0,0,0
0,1,1,0.1070477828022663,0,0,0,0,0,1,-1.4926823160681442,0,0,1,0,0,1,0,0,0,1,0
0,1,1,1.002895784642934,0,0,0,0,0,0,-1.4960059100684764,0,0,1,0,0,1,1,0,0,0,0
0,0,0,-0.8295205827584317,1,0,0,0,0,1,1.0203448155788417,0,1,0,1,0,0,0,0,1,0,1
0,1,0,1.4508197855632678,1,1,1,1,1,1,0.895319973170575,1,0,0,0,0,1,0,0,1,0,0
0,1,1,1.1657772395230557,0,0,0,1,1,1,0.3003966471111027,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0.1070477828022663,0,0,0,1,0,1,-0.0884638509277699,1,0,0,1,0,0,0,0,1,0,0
0,0,0,-0.9516816739185228,0,1,0,1,1,0,-0.2081132349397309,1,0,0,1,0,0,0,0,0,1,1
0,1,1,-1.1960038562387048,0,0,0,1,0,1,-0.4856333339674735,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.4827115340671475,0,0,1,1,0,0,0,0,0,1,1
0,1,1,-0.62591876415828,0,1,0,1,0,1,0.8188773111629334,0,1,0,1,0,0,0,0,1,0,1
0,1,1,1.5729808767233588,0,0,0,0,0,0,-1.491020519067978,0,0,1,0,0,1,0,1,0,0,0
0,0,0,0.6364125111626608,0,0,1,0,0,0,0.3452651661155883,0,1,0,0,1,0,0,0,1,0,0
0,1,0,-0.748079855318371,0,0,0,0,0,0,-0.6700928009859131,1,0,0,0,1,0,0,0,1,0,0
0,1,1,-0.3408762181180675,0,1,0,1,0,1,-0.2828940999472064,1,0,0,0,1,0,0,1,0,0,0
0,0,0,-1.1145631287986442,1,0,0,0,0,0,0.360221339117083,0,1,0,1,0,0,0,0,1,0,0
0,0,1,0.4328106925625091,0,1,1,0,0,1,-0.0269773619216233,1,0,0,1,0,0,0,0,1,0,0
0,0,1,-1.2367242199587352,0,0,0,0,0,0,-1.4744025490663168,0,0,1,1,0,0,0,0,0,1,0
0,0,0,-1.1960038562387048,1,0,0,0,0,1,0.32338668711596796,0,1,0,1,0,0,0,0,1,0,1
0,1,0,0.880734693482843,1,0,1,1,0,1,1.3140928172124378,0,1,0,1,0,0,0,0,1,0,1
1,1,0,-0.8986219943428669,1,0,1,0,0,1,1.1609280878549122,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.4223169455581282,0,0,0,0,0,1,0.1641292930974807,0,1,0,1,0,0,0,0,0,1,0
0,1,0,1.1657772395230557,1,0,0,0,0,0,-1.341458789053027,0,0,1,0,0,1,0,0,0,1,0
0,1,0,-1.2774445836787656,0,0,0,0,0,0,-0.9891578250178088,1,0,0,1,0,0,0,0,1,0,0
0,0,0,-0.8295205827584317,1,1,0,1,1,1,-0.1034200239292651,1,0,0,1,0,0,0,0,0,1,1
0,1,1,-0.5851984004382496,0,0,0,0,0,0,-1.4943441130683104,0,0,1,0,1,0,1,0,0,0,0
0,0,0,-1.0848608655908427,0,0,1,0,0,1,-0.7440647856884376,1,0,0,1,0,0,0,1,0,0,1
1,0,0,-0.9516816739185228,0,0,0,0,0,1,0.534710024134526,0,1,0,1,0,0,0,0,1,0,1
1,1,0,0.5956921474426305,1,0,0,1,0,0,1.1612074931971548,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-1.1552834925186746,0,0,0,0,0,1,-0.6468276429835875,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0.3418981225913212,1,0,0,0,1,1,1.063584225308692,0,1,0,0,1,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.4812177603306467,0,0,1,1,0,0,0,0,0,1,1
0,1,0,-0.6666391278783103,1,1,1,1,0,0,0.8620840331672525,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-1.0738427650786138,0,0,0,0,0,1,0.8753784091685812,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.5142514200025698,0,1,0,1,1,0,0.5612987761371843,1,0,0,0,0,1,1,0,0,0,0
0,1,1,0.30357883564052235,1,0,1,1,1,1,1.003070421753455,0,1,0,0,1,0,0,0,1,0,1
0,0,0,-0.4630373092781585,0,1,0,1,1,1,-0.1499503399339166,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0.6302629068233833,1,0,0,0,0,1,0.5775781685669312,0,1,0,1,0,0,0,0,1,0,1
0,1,0,1.6137012404433893,1,1,1,1,0,0,1.1927816362003112,0,1,0,0,0,1,1,0,0,0,0
0,1,0,0.5549717837226001,1,1,0,0,0,0,-0.3244390249513595,1,0,0,1,0,0,1,0,0,0,0
0,1,0,1.3286586944031769,1,1,1,1,0,1,1.1495749141959914,0,1,0,0,0,1,0,0,1,0,0
0,1,1,-0.5444780367182193,0,0,0,0,0,0,-1.4827115340671475,0,0,1,0,0,1,0,0,0,1,0
1,1,0,-0.0965540357978854,0,0,1,1,0,1,0.4948268961305394,0,1,0,1,0,0,0,0,0,1,1
0,1,1,1.5729808767233588,0,1,0,1,0,0,0.4250314221235619,1,0,0,0,0,1,0,1,0,0,0
0,0,1,0.2699292376823877,0,0,0,0,0,0,-1.5093002860698053,0,0,1,0,1,0,1,0,0,0,0
0,0,0,-1.2774445836787656,0,0,0,0,0,1,-0.2828940999472064,1,0,0,1,0,0,0,0,1,0,1
0,1,1,1.4915401492832985,1,1,1,1,1,1,1.6481140142458286,0,1,0,0,0,1,1,0,0,0,0
1,1,1,0.3513699651224484,1,0,1,1,1,1,1.5683477582378549,0,1,0,0,1,0,0,0,1,0,1
1,1,0,-1.2774445836787656,0,0,0,0,0,0,-1.3198554280508674,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,1,0,0,0,-0.4640299729653139,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.4893587220678115,0,0,1,1,0,0,0,1,0,0,0
0,0,0,-1.204472671691473,0,0,0,0,1,1,0.20122802607008997,1,0,0,1,0,0,0,0,1,0,1
0,0,1,-1.2774445836787656,0,0,0,0,0,1,-1.479387940066815,0,0,1,1,0,0,0,0,0,1,0
0,0,0,-1.2774445836787656,0,0,0,0,0,1,0.1524967140963176,0,1,0,1,0,0,0,0,1,0,1
1,0,0,-0.94731689515437,1,0,0,0,0,1,0.32802625764646626,0,1,0,1,0,0,0,0,0,1,1
1,1,0,0.4328106925625091,1,0,0,1,1,1,1.422109622223236,0,1,0,0,1,0,0,0,1,0,1
0,1,1,1.5322605130033284,1,1,1,1,1,0,0.9684390411778844,0,1,0,0,0,1,1,0,0,0,1
0,0,0,-1.2774445836787656,0,0,1,0,0,0,-0.4690153639658123,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0.8400143297628127,0,0,1,1,1,1,0.9867188081797118,0,1,0,0,1,0,0,1,0,0,0
0,0,1,-1.2367242199587352,1,0,0,0,0,1,0.9784098231788813,0,1,0,1,0,0,1,0,0,0,1
1,1,0,1.5729808767233588,1,1,0,0,0,1,0.5297246331340278,0,1,0,0,0,1,0,1,0,0,0
1,0,0,-0.5037576729981889,1,0,0,0,0,1,0.6992279271509723,0,1,0,1,0,0,0,1,0,0,1
1,1,0,1.3423222184626404,1,0,1,1,0,1,1.4302028423654096,0,1,0,0,1,0,0,0,1,0,1
0,0,0,-1.1647012959261813,0,0,0,1,0,1,-0.8568639159685099,1,0,0,1,0,0,0,0,0,1,1
1,0,0,0.1070477828022663,1,1,1,1,1,1,1.5301264272340338,0,1,0,0,1,0,1,0,0,0,0
0,1,1,-1.318164947398796,0,1,1,1,0,0,0.534710024134526,1,0,0,0,0,1,0,0,0,1,0
1,0,0,-1.2367242199587352,0,0,0,0,0,0,0.198129053424703,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.502653098069141,0,0,1,1,0,0,0,1,0,0,0
0,0,0,-1.23736422753838,0,0,0,0,0,1,-1.3198031906650105,1,0,0,1,0,0,0,0,1,0,1
1,0,0,-1.1286344446455991,0,0,0,0,0,0,-0.6300877667470003,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-0.748079855318371,0,0,0,1,0,0,0.3519123541162524,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.9027911271722815,0,0,1,1,0,1,0.5140989463127008,0,1,0,1,0,0,0,0,1,0,1
1,1,0,-1.1145631287986442,0,0,0,0,0,0,0.1757618720986434,0,1,0,1,0,0,0,0,1,0,0
0,1,0,-0.748079855318371,1,1,0,0,0,1,-0.0020504069191315,1,0,0,1,0,0,1,0,0,0,1
0,0,1,-0.9924020376385532,0,1,0,0,0,1,-0.8728320350061801,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0.6771328748826912,1,1,1,1,1,0,1.392197276220246,0,1,0,0,0,1,0,1,0,0,0
0,1,0,1.4508197855632678,1,1,1,1,1,0,0.2040124211014678,1,0,0,0,0,1,0,1,0,0,0
1,1,0,0.1070477828022663,1,0,0,1,0,0,1.2393119522049625,0,1,0,1,0,0,1,0,0,0,0
1,1,0,-0.5015001199598726,1,1,0,1,0,1,0.8002084992253258,0,1,0,1,0,0,1,0,0,0,1
0,0,0,-1.1960038562387048,0,0,0,1,1,1,0.8338334841644282,0,1,0,1,0,0,0,0,0,1,0
0,0,0,1.369379058123207,0,0,1,1,0,0,1.15456030519649,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.5851984004382496,0,0,0,0,0,0,-1.4843733310673135,0,0,1,0,1,0,0,0,0,1,0
0,1,0,1.6137012404433893,0,0,0,0,0,0,-1.5109620830699717,0,0,1,0,0,1,0,1,0,0,0
0,1,0,1.1369409188066981,1,0,1,1,0,1,1.2410406771083122,0,1,0,1,0,0,0,1,0,0,1
0,1,0,0.9214550572028734,1,1,1,0,0,1,1.0631614701873533,0,1,0,1,0,0,0,0,1,0,1
0,1,0,1.5564342069599948,1,0,1,1,1,1,1.4633098714718464,0,1,0,0,0,1,0,1,0,0,1
1,1,0,0.7992939660427822,0,1,0,1,1,1,1.3190782082129364,0,1,0,0,1,0,1,0,0,0,0
0,1,0,1.6137012404433893,1,1,0,1,1,1,1.5334500212343665,0,1,0,0,0,1,0,1,0,0,0
0,0,0,-0.9516816739185228,1,1,0,0,0,1,0.544680806135523,0,1,0,1,0,0,0,0,1,0,0
0,1,0,1.5729808767233588,1,0,0,0,0,1,-1.3331498040521963,0,0,1,0,0,1,1,0,0,0,0
1,1,1,-1.1960038562387048,0,1,0,0,1,1,0.7823177771592784,0,1,0,1,0,0,0,0,0,1,1
0,1,1,-1.1960038562387048,1,0,1,1,0,1,0.1458495260956535,1,0,0,1,0,0,1,0,0,0,0
0,0,0,-0.5851984004382496,0,0,0,0,0,1,0.1674528870978128,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.341458789053027,1,0,0,1,0,0,0,0,0,1,0
0,1,1,0.3513699651224484,0,0,0,1,0,1,1.001674981181207,0,1,0,1,0,0,1,0,0,0,0
0,1,1,-0.1372743995179157,0,0,0,0,0,1,0.1990270301009692,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.7888002190384014,0,0,0,0,0,1,-1.2684807917409526,1,0,0,1,0,0,0,0,1,0,1
0,0,1,1.1657772395230557,0,0,0,0,0,0,-1.4960059100684764,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0.1070477828022663,1,1,0,0,0,0,-0.3161300399505289,1,0,0,0,0,1,0,0,0,1,0
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.5109620830699717,0,0,1,1,0,0,0,1,0,0,0
0,0,0,0.5016323660046508,1,0,1,1,0,1,1.351916012134996,0,1,0,0,1,0,0,1,0,0,1
1,1,1,-0.1372743995179157,1,0,0,1,0,1,1.302460238211275,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1.3286586944031769,0,1,1,1,1,1,0.6676537841478158,1,0,0,0,0,1,1,0,0,0,0
0,0,0,-1.1960038562387048,1,0,0,0,0,1,0.4050898581215686,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.7888002190384014,0,0,1,0,0,0,-1.1835880740372453,1,0,0,1,0,0,0,0,1,0,0
0,1,1,-0.0151133083578247,0,1,1,0,0,1,-0.9841724340173104,1,0,0,1,0,0,0,0,1,0,0
1,1,0,1.6137012404433893,1,0,0,0,0,1,-1.2982520670487077,0,0,1,0,0,1,0,1,0,0,0
